date,cases,deaths
31-Dec-19,0,0
1-Jan-20,0,0
2-Jan-20,0,0
3-Jan-20,0,0
4-Jan-20,0,0
5-Jan-20,0,0
6-Jan-20,0,0
7-Jan-20,0,0
8-Jan-20,0,0
9-Jan-20,0,0
10-Jan-20,0,0
11-Jan-20,0,0
12-Jan-20,0,0
13-Jan-20,0,0
14-Jan-20,0,0
15-Jan-20,0,0
16-Jan-20,0,0
17-Jan-20,0,0
18-Jan-20,0,0
19-Jan-20,0,0
20-Jan-20,0,0
21-Jan-20,0,0
22-Jan-20,0,0
23-Jan-20,0,0
24-Jan-20,0,0
25-Jan-20,0,0
26-Jan-20,0,0
27-Jan-20,0,0
28-Jan-20,0,0
29-Jan-20,0,0
30-Jan-20,0,0
31-Jan-20,0,0
1-Feb-20,0,0
2-Feb-20,0,0
3-Feb-20,0,0
4-Feb-20,0,0
5-Feb-20,0,0
6-Feb-20,0,0
7-Feb-20,0,0
8-Feb-20,0,0
9-Feb-20,0,0
10-Feb-20,0,0
11-Feb-20,0,0
12-Feb-20,0,0
13-Feb-20,0,0
14-Feb-20,0,0
15-Feb-20,0,0
16-Feb-20,0,0
17-Feb-20,0,0
18-Feb-20,0,0
19-Feb-20,0,0
20-Feb-20,0,0
21-Feb-20,0,0
22-Feb-20,0,0
23-Feb-20,0,0
24-Feb-20,0,0
25-Feb-20,1,0
26-Feb-20,0,0
27-Feb-20,0,0
28-Feb-20,0,0
29-Feb-20,1,0
1-Mar-20,0,0
2-Mar-20,0,0
3-Mar-20,0,0
4-Mar-20,1,0
5-Mar-20,5,0
6-Mar-20,5,0
7-Mar-20,0,0
8-Mar-20,12,0
9-Mar-20,0,0
10-Mar-20,9,0
11-Mar-20,18,0
12-Mar-20,25,0
13-Mar-20,21,0
14-Mar-20,23,0
15-Mar-20,79,0
16-Mar-20,34,0
17-Mar-20,57,1
18-Mar-20,137,3
19-Mar-20,193,2
20-Mar-20,283,5
21-Mar-20,224,7
22-Mar-20,418,7
23-Mar-20,345,9
24-Mar-20,310,12
25-Mar-20,232,11
26-Mar-20,482,20
27-Mar-20,502,15
28-Mar-20,487,22
29-Mar-20,352,22
30-Mar-20,323,23
31-Mar-20,1138,42
1-Apr-20,1119,40
2-Apr-20,1074,58
3-Apr-20,1146,60
4-Apr-20,1222,73
5-Apr-20,852,54
6-Apr-20,926,67
7-Apr-20,1661,114
8-Apr-20,2210,133
9-Apr-20,1930,141
10-Apr-20,1781,115
11-Apr-20,1089,68
12-Apr-20,1442,99
13-Apr-20,1261,105
14-Apr-20,1832,204
15-Apr-20,3058,204
16-Apr-20,2105,188
17-Apr-20,3257,217
18-Apr-20,2917,206
19-Apr-20,2055,115
20-Apr-20,1927,113
21-Apr-20,2498,166
22-Apr-20,2678,165
23-Apr-20,3735,407
24-Apr-20,3503,357
25-Apr-20,5514,346
26-Apr-20,3379,189
27-Apr-20,4613,338
28-Apr-20,5385,474
29-Apr-20,6276,449
30-Apr-20,7218,435
1-May-20,6209,428
2-May-20,4970,421
3-May-20,4588,275
4-May-20,6633,296
5-May-20,6935,600
6-May-20,10503,615
7-May-20,9888,610
8-May-20,10222,751
9-May-20,10611,730
10-May-20,6760,496
11-May-20,5632,396
12-May-20,9258,881
13-May-20,11385,749
14-May-20,13944,844
15-May-20,15305,824
16-May-20,14919,816
17-May-20,7938,485
18-May-20,13140,674
19-May-20,17408,1179
20-May-20,19951,888
21-May-20,18508,1188
22-May-20,20803,1001
23-May-20,16508,965
24-May-20,15813,653
25-May-20,11687,807
26-May-20,16324,1039
27-May-20,20599,1086
28-May-20,26417,1156
29-May-20,26928,1124
30-May-20,33274,956
31-May-20,16409,480
1-Jun-20,11598,623
2-Jun-20,28936,1262
3-Jun-20,28633,1349
4-Jun-20,30925,1473
5-Jun-20,30830,1005
6-Jun-20,27075,904
7-Jun-20,18912,525
